item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800203,5,VER,,,0,EE,EE-CA
100800204,1,TAL,,,0,IN,IN-VA
100800204,2,PMM,,Kilowatt,1,IN,IN-VA
100800204,3,MOD,,,0,IN,IN-VA
100800204,4,TEN,,,0,IN,IN-VA
100800204,5,FAB,,,0,IN,IN-VA
100800219,1,TYPE,,,0,ME,ME-RO
100800219,2,DIAI,,Millimeter,1,ME,ME-RO
100800219,3,SR,,,0,ME,ME-RO
100800219,4,DIAE,,Millimeter,0,ME,ME-RO
100800219,5,EPJ,,,0,ME,ME-RO
100800220,1,TYPE,,,0,ME,ME-RO
100800220,2,DIAI,,Millimeter,1,ME,ME-RO
100800220,3,SR,,,0,ME,ME-RO
100800220,4,DIAE,,Millimeter,0,ME,ME-RO
100800220,5,EPJ,,,0,ME,ME-RO
100800224,1,TYPE,,,0,EL,EL-FU
100800224,2,CDP,,AMP,1,EL,EL-FU
100800224,3,TAI,,,0,EL,EL-FU
100800224,4,TEN,,,0,EL,EL-FU
100800224,5,FAB,,,0,EL,EL-FU
100800225,1,TYPE,,,0,ME,ME-JO
100800225,2,DIA,,Millimeter,1,ME,ME-JO
100800225,3,DIM,,Millimeter,0,ME,ME-JO
100800225,4,MAT,,,0,ME,ME-JO
100800225,5,USG,,,0,ME,ME-JO
100800229,1,TYPE,,,0,HY,HY-FI
100800229,2,SEU,,Micrometer,1,HY,HY-FI
100800229,3,RAC,,,0,HY,HY-FI
100800229,4,DEB,,,0,HY,HY-FI
100800229,5,FAB,,,0,HY,HY-FI
100800233,1,TYPE,,,0,HY,HY-PO
100800233,2,DEB,,,1,HY,HY-PO
100800233,3,CYL,,,0,HY,HY-PO
100800233,4,PRE,,Bar,0,HY,HY-PO
100800233,5,LIQ,,,0,HY,HY-PO
100800235,1,TYPE,,,0,HY,HY-VE
100800235,2,DAP,,Millimeter,1,HY,HY-VE
100800235,3,DGT,,Millimeter,0,HY,HY-VE
100800235,4,COU,,Millimeter,0,HY,HY-VE
100800235,5,PRE,,Bar,0,HY,HY-VE
100800236,1,TYPE,,,0,ME,ME-RO
100800236,2,DIAI,,Millimeter,1,ME,ME-RO
100800236,3,SR,,,0,ME,ME-RO
100800236,4,DIAE,,Millimeter,0,ME,ME-RO
100800236,5,EPJ,,,0,ME,ME-RO
100800237,1,TYPE,,,0,HY,HY-VE
100800237,2,DAP,,Millimeter,1,HY,HY-VE
100800237,3,DGT,,Millimeter,0,HY,HY-VE
100800237,4,COU,,Millimeter,0,HY,HY-VE
100800237,5,PRE,,Bar,0,HY,HY-VE
100800238,1,TYPE,,,0,ME,ME-JO
100800238,2,DIA,,Millimeter,1,ME,ME-JO
100800238,3,DIM,,Millimeter,0,ME,ME-JO
100800238,4,MAT,,,0,ME,ME-JO
100800238,5,USG,,,0,ME,ME-JO
